"AS1101 SURFnet bv",2001::,2001:0:ffff:ffff:ffff:ffff:ffff:ffff,32
"AS112 DNS-OARC",2001:4:112::,2001:4:112:ffff:ffff:ffff:ffff:ffff,48
"AS48260 TELEWEB bvba",2001:5:5::,2001:5:5:ffff:ffff:ffff:ffff:ffff,48
"AS2500 WIDE Project",2001:200::,2001:200:ffff:ffff:ffff:ffff:ffff:ffff,32
"AS2914 NTT America, Inc.",2001:218::,2001:218:ffff:ffff:ffff:ffff:ffff:ffff,32
"AS9270 National Infomation Society Agency",2001:220::,2001:220:1fff:ffff:ffff:ffff:ffff:ffff,35
"AS2497 Internet Initiative Japan Inc.",2001:240::,2001:240:ffff:ffff:ffff:ffff:ffff:ffff,32
"AS4538 China Education and Research Network Center",2001:250::,2001:250:0:ffff:ffff:ffff:ffff:ffff,48
"AS23910 China Next Generation Internet CERNET2",2001:250:1::,2001:250:1:ffff:ffff:ffff:ffff:ffff,48
"AS23910 China Next Generation Internet CERNET2",2001:250:2::,2001:250:3:ffff:ffff:ffff:ffff:ffff,47
"AS23910 China Next Generation Internet CERNET2",2001:250:4::,2001:250:7:ffff:ffff:ffff:ffff:ffff,46
"AS23910 China Next Generation Internet CERNET2",2001:250:8::,2001:250:f:ffff:ffff:ffff:ffff:ffff,45
"AS23910 China Next Generation Internet CERNET2",2001:250:10::,2001:250:1f:ffff:ffff:ffff:ffff:ffff,44
"AS23910 China Next Generation Internet CERNET2",2001:250:20::,2001:250:3f:ffff:ffff:ffff:ffff:ffff,43
"AS23910 China Next Generation Internet CERNET2",2001:250:40::,2001:250:7f:ffff:ffff:ffff:ffff:ffff,42
"AS23910 China Next Generation Internet CERNET2",2001:250:80::,2001:250:ff:ffff:ffff:ffff:ffff:ffff,41
"AS23910 China Next Generation Internet CERNET2",2001:250:100::,2001:250:1ff:ffff:ffff:ffff:ffff:ffff,40
"AS23910 China Next Generation Internet CERNET2",2001:250:200::,2001:250:3ff:ffff:ffff:ffff:ffff:ffff,39
"AS23910 China Next Generation Internet CERNET2",2001:250:400::,2001:250:7ff:ffff:ffff:ffff:ffff:ffff,38
"AS23910 China Next Generation Internet CERNET2",2001:250:800::,2001:250:fff:ffff:ffff:ffff:ffff:ffff,37
"AS23910 China Next Generation Internet CERNET2",2001:250:1000::,2001:250:1fff:ffff:ffff:ffff:ffff:ffff,36
"AS23910 China Next Generation Internet CERNET2",2001:250:2000::,2001:250:3fff:ffff:ffff:ffff:ffff:ffff,35
"AS23910 China Next Generation Internet CERNET2",2001:250:4000::,2001:250:7fff:ffff:ffff:ffff:ffff:ffff,34
"AS23910 China Next Generation Internet CERNET2",2001:250:8000::,2001:250:ffff:ffff:ffff:ffff:ffff:ffff,33
"AS24348 CERNET2 IX at Tsinghua University",2001:251::,2001:251:ffff:ffff:ffff:ffff:ffff:ffff,32
"AS23911 China Next Generation Internet Beijing IX",2001:252::,2001:252:ffff:ffff:ffff:ffff:ffff:ffff,32
"AS24489 Trans-Eurasia Information Network (TEIN2) - North",2001:254::,2001:254:7fff:ffff:ffff:ffff:ffff:ffff,33
